Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DTCM QA Automation,Chrome 74.0.3729.131,,,2019-05-10 12:18:49,2019-05-10 12:19:42,53.285s,ERROR
,,,,,,,
Test Cases/DTCM/Login and logout/DTCM Invalid Login Scenario,Chrome 74.0.3729.131,,,2019-05-10 12:18:49,2019-05-10 12:18:57,7.544s,ERROR
"openBrowser(""https://www.google.com/"")",Chrome 74.0.3729.131,,,2019-05-10 12:18:50,2019-05-10 12:18:55,5.622s,PASSED
driver = getWebDriver(),Chrome 74.0.3729.131,,,2019-05-10 12:18:55,2019-05-10 12:18:55,0.009s,PASSED
"baseUrl = ""https://www.google.com/""",Chrome 74.0.3729.131,,,2019-05-10 12:18:55,2019-05-10 12:18:55,0.001s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 74.0.3729.131,,,2019-05-10 12:18:55,2019-05-10 12:18:55,0.091s,PASSED
window().maximize(),Chrome 74.0.3729.131,,,2019-05-10 12:18:55,2019-05-10 12:18:56,1.156s,PASSED
"CurrentURL = ""https://qacd2.testvisitdubai.com/en/account/login?v=78798789""",Chrome 74.0.3729.131,,,2019-05-10 12:18:56,2019-05-10 12:18:56,0.002s,PASSED
"username = ""muhammad.saad@ovrlod.com""",Chrome 74.0.3729.131,,,2019-05-10 12:18:56,2019-05-10 12:18:56,0.000s,PASSED
"password = ""Qwerty##1244""",Chrome 74.0.3729.131,,,2019-05-10 12:18:56,2019-05-10 12:18:56,0.000s,PASSED
selenium.open(CurrentURL),Chrome 74.0.3729.131,,,2019-05-10 12:18:56,2019-05-10 12:18:57,0.322s,PASSED
"selenium.click(""id=tbUsername"")",Chrome 74.0.3729.131,,,2019-05-10 12:18:57,2019-05-10 12:18:57,0.038s,PASSED
,,,,,,,
Test Cases/DTCM/Language Change/DTCM Language Change Eng-Fr-Eng,Chrome 74.0.3729.131,,,2019-05-10 12:18:57,2019-05-10 12:19:03,6.496s,ERROR
"openBrowser(""https://www.google.com/"")",Chrome 74.0.3729.131,,,2019-05-10 12:18:57,2019-05-10 12:19:02,4.942s,PASSED
driver = getWebDriver(),Chrome 74.0.3729.131,,,2019-05-10 12:19:02,2019-05-10 12:19:02,0.001s,PASSED
"baseUrl = ""https://www.google.com/""",Chrome 74.0.3729.131,,,2019-05-10 12:19:02,2019-05-10 12:19:02,0.000s,PASSED
"selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 74.0.3729.131,,,2019-05-10 12:19:02,2019-05-10 12:19:02,0.015s,PASSED
window().maximize(),Chrome 74.0.3729.131,,,2019-05-10 12:19:02,2019-05-10 12:19:03,1.121s,PASSED
"selenium.open(""https://qacd2.testvisitdubai.com/en/account/login?v=78798789"")",Chrome 74.0.3729.131,,,2019-05-10 12:19:03,2019-05-10 12:19:03,0.204s,PASSED
window().maximize(),Chrome 74.0.3729.131,,,2019-05-10 12:19:03,2019-05-10 12:19:03,0.006s,PASSED
"selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='English'])[2]/following::span[1]"")",Chrome 74.0.3729.131,,,2019-05-10 12:19:03,2019-05-10 12:19:03,0.025s,PASSED
,,,,,,,
Test Cases/DTCM/Language Change/Language Change Az-Fr-Az,Chrome 74.0.3729.131,,,2019-05-10 12:19:03,2019-05-10 12:19:10,6.550s,ERROR
"openBrowser(""https://www.google.com/"")",Chrome 74.0.3729.131,,,2019-05-10 12:19:03,2019-05-10 12:19:08,4.958s,PASSED
driver = getWebDriver(),Chrome 74.0.3729.131,,,2019-05-10 12:19:08,2019-05-10 12:19:08,0.001s,PASSED
